questionBody,questionResponse,,,,,
"What was the correct answer for slide 19? Internet lagged out for me	""I believe it's because at nighttime", there is no incoming solar radiation, so there is only the effects of the outgoing longwave radiation which cools the earth dramatically. Greenhouse gases form a sort of insulating blanket that trap outgoing longwave radiation and keep the earth warmer. Since we expect the arctic to be cooler to begin with, and temperatures are higher than they should be," we can see the presence of greenhouse gases more clearly than in the tropics where it is warmer.""",,
"Can someone explain the concept of the slide again?	""https://www.almanac.com/fact/what-is-the-hottest-time-of-dayr|check out the next slide for a better image. He's basically saying that incoming solar energy peaks midday"," but OUTgoing longwave energy emitted from the earth peaks around sunset so at this point where they intersect we see our hottest temperatures of the day""",,,,,
"Could you explain stage 6 again?	""The warm sector is completely cut off", the cold front has completely caught up to the warm front, the Low pressure simply spins off and dissipates. By this point," there is likely little to no precip left.|Thanks!""",,,
"Do these questions count for participation?	My guess would be yes since they're posted they will still gather data",,,,,,
"so is the lightning strike negative	""See slide 27", I think negative charge builds up at the bottom of the cloud, positive at the top, and then it needs to balance out," so it induces a positively charged surface at the ground to balance and when they connect creates a positive return stroke back to the cloud""",,
"down to 5  deg, dew pt is 5. not 10	""As we go up: if we go up 1km", the temperature is now 15, dp is 7, go up another 1km now temp is 5 and dp is 5," therefore air is saturated and we get a cloud""",,
"When it asks me to explain it won't let me type in the box, do you know how to fix that?	I don't have the ability to see what you see but try making the window bigger when you answer a question perhaps",,,,,,
"I'm honestly just getting confused from these conspiracy theories.  How much should we know these ""theories"" for the exam?	""I think you should just be able to explain why these theories aren't real. The crazy people who say hurricanes are man made", why are they wrong? Technically not learning anything new in this lecture since you already learned all the dynamic processes of our atmosphere and can therefore explain the videos that have been shown. Also just for clarification," cloud seeding is a real thing but it is not used as the conspiracy theorists say.""",,,,
"The reading I did for today was about precipitation... did I do the wrong reading?	I'm sure you're fine. Perry is focusing on hurricanes because of the great real world example we currently have",,,,,,
"So if I have a class before this, and I wouldn't get to the stadium until about 10:25, should I still come?	""I think yes"," if you'd like to. The activity we'll be doing will be really fun. Email Perry if you have more concerns""",,,,,
"is there anyway exam #3 can be taken at a later date?	No not usually.",,,,,,
"Are there no questions on the lecture today?	Perry may reveal a question slide later on.",,,,,,
"Is soil-moisture measured during dry or wet conditions? or is it an average?	I believe it's measured as a yearly average",,,,,,
"Will you have other office hours this week due to thanksgiving?	Not this week but next!",,,,,,
"I can't open the live stream. Why is that?	refresh browser?|it appears like this..",,,,,,
"Did he mention that you'll see the wall cloud at the rear flank?	yes around the rear flank downdraft",,,,,,
"Someone mentioned that the assignments are due tomorrow, but according to canvas they are due next Monday, which one is true?	it's due on monday",,,,,,
"is it true that our six lowest lecture scores get dropped?	tis true as stated in syllabus",,,,,,
"Slide 19 is hidden for me	reload browser page and it should pop up",,,,,,
"Did he said point of occlusion will produce the strongest wind?	I don't think so.. although it likely will have strong wind associated with it",,,,,,
"Is there a separate assignment for submitting our own personal weather experience? (Which he mentioned was due Friday on the slides) I only can find the parent/significant elder story assignment.	I have this same concern. I remember hearing about it but I cant find it.|hmm. I was able to find it without a problem. I answered it.",,,,,,
"Why the atmospheric river seems to be more precipitate and thick when it reaches the west land of US?	""It brings moisture on land and when it hits the rocky mountains on the west side of the US", the mountains cause the air to rise, condense," and precipitate out""",,,
"so is there no friction at higher elevations in the upper atmosphere?	Correct. We assume no friction in the upper atmosphere since it is so far removed from the surface and trees/buildings and such.",,,,,,
"What does it mean for a front to be stable vs. not?	""if it's stable air"," which is typically drier air. Any time you have warm below cold = UNSTABLE. Also usually has moisture. So a stable air mass would typically have cold under warm and be dry.""",,,,,
"does temp decrease at 10degrees/km as it rises until the cloud forms and then inside the cloud it drops at 6 degrees/km because it is moist in the cloud?	exactly. Dry adiabatic lapse rate (10) until saturated (T=Td) then rises at moist adiabatic rate (6)",,,,,,
"I emailed Perry about the participation grades and he never replied. Have you heard anything?	No I have not but if you are in class today you could ask him afterwards. If not I will ask him too",,,,,,
"Hey Kim! Is the test review this Thursday 6:30-7:30?	""The Thursday before the exam"," we've only got one Thursday left before! :)""",,,,,
"How can I know if my answer is graded right or not for #4 short question? My answer is 1/1000.	What if we don't show up today and we don't know what exact grade I've got?|If your point total was not 3 which it probably wasn't if that was your answer so be sure to fill out the google sheet",,,,,,
"can you reopen the question. I want to change the answer but the poll close	As long as you put an answer your participation is recorded",,,,,,
"so the eye doesn't begin to form until category four?	""Not necessarily. It can appear in 3 or lower as well", but generally cat 1 & 2 are not as well organized as 3,4,"5""",,,
"The slide is still hidden for me	refresh browser",,,,,,
"in the book it said 44% from heat events... how come this says flooding? im conflicted between which is the highest cause of death, flooding or heat?	""It's not a matter of which is the highest"," this is just pointing out all of the events""",,,,,
"will we have the clausius-clapyron graph given to us on the exam?	yes it's not expected to memorize an exponential graph... Perry wants you to understand the material first and foremost.",,,,,,
"what will form on the south and west side of the thunderstorm?	typically where tornadoes are formed",,,,,,
"The wind is blowing in which direction in this slide?	""Not sure which slide you refer to but if it is 32"," he hasn't specified but he is trying to show vertical motion here due to pressure changes in the horizontal""",,,,,
"What chapter is this from?	""Not sure I don't have the book in front of me"," I would guess the last chapter but keep doing the assigned readings as well.""",,,,,
